"","x"
"1007_s_at",0.4275816585984
"1053_at",0.482223414433085
"117_at",0.622540045053596
"121_at",0.453308219626624
"1255_g_at",0.174092203440648
"1294_at",0.539455912151277
"1316_at",0.401087233376944
"1320_at",0.107901056868443
"1405_i_at",0.797146998692346
"1431_at",0.313272032984141
"1438_at",0.272333903577813
"1487_at",0.486371887596503
"1494_f_at",0.370816422502244
"1552256_a_at",0.394586737463316
"1552257_a_at",0.528852378114997
"1552258_at",0.415912667347531
"1552261_at",0.278850535390149
"1552263_at",0.637264694224458
"1552264_a_at",0.638662701778453
"1552266_at",0.155945518213768
"1552269_at",0.11863562619638
"1552271_at",0.361941495794075
"1552272_a_at",0.394852981855749
"1552274_at",0.665089323407546
"1552275_s_at",0.514177134687219
"1552276_a_at",0.112932387331949
"1552277_a_at",0.357938765689786
"1552278_a_at",0.287979765271172
"1552279_a_at",0.492382008609983
"1552280_at",0.246609462789759
"1552281_at",0.225120040494419
"1552283_s_at",0.32252476762112
"1552286_at",0.423675037035067
"1552287_s_at",0.5332779613791
"1552288_at",0.177232560750637
"1552289_a_at",0.265824968246322
"1552291_at",0.55227071583554
"1552293_at",0.268722292423246
"1552295_a_at",0.34178895210593
"1552296_at",0.256891036701961
"1552299_at",0.26397497398499
"1552301_a_at",0.425414292349353
"1552302_at",0.541621237921162
"1552303_a_at",0.547219845366946
"1552304_at",0.278788180695418
"1552306_at",0.297788043867846
"1552307_a_at",0.460112376105154
"1552309_a_at",0.465811175807059
"1552310_at",0.466725762992356
"1552311_a_at",0.528069193228731
"1552312_a_at",0.392717428765268
"1552314_a_at",0.328816832457852
"1552315_at",0.554164576042221
"1552316_a_at",0.658795454542834
"1552318_at",0.623549416041759
"1552319_a_at",0.309720192570644
"1552320_a_at",0.32377867739164
"1552321_a_at",0.189803609470457
"1552322_at",0.272898917554203
"1552323_s_at",0.3478362875536
"1552325_at",0.244674422730657
"1552326_a_at",0.29842698464828
"1552327_at",0.189998758583879
"1552329_at",0.418132050841638
"1552330_at",0.438503115504703
"1552332_at",0.0947088068233358
"1552334_at",0.521755904213133
"1552335_at",0.359774466720958
"1552337_s_at",0.29634922363217
"1552338_at",0.140714739932115
"1552340_at",0.253258707066625
"1552343_s_at",0.49005458898458
"1552344_s_at",0.43857392871859
"1552347_at",0.552561296738001
"1552348_at",0.501010211966083
"1552349_a_at",0.301670657078985
"1552354_at",0.290751360997356
"1552355_s_at",0.308737453659595
"1552359_at",0.196606246696926
"1552360_a_at",0.415732279395239
"1552362_a_at",0.418286461831004
"1552364_s_at",0.398602613711367
"1552365_at",0.174288606116774
"1552367_a_at",0.218473581627525
"1552368_at",0.307117243189992
"1552370_at",0.378625612393401
"1552372_at",0.253805225187051
"1552373_s_at",0.297712731018264
"1552375_at",0.400158966433309
"1552377_s_at",0.371805324056543
"1552378_s_at",0.218642893675987
"1552379_at",0.194081744108448
"1552381_at",0.261605130286588
"1552383_at",0.412145399221261
"1552384_a_at",0.301739547723486
"1552386_at",0.589643696113885
"1552388_at",0.345161876662722
"1552389_at",0.203762305719294
"1552390_a_at",0.30523335710881
"1552391_at",0.274951315736652
"1552393_at",0.249632987799264
"1552394_a_at",0.17485267174372
"1552395_at",0.182351440684307
"1552396_at",0.231567883506262
"1552398_a_at",0.675019096135253
"1552399_a_at",0.276681185850284
"1552400_a_at",0.358707902416304
"1552401_a_at",0.276759940722724
"1552402_at",0.250167014584888
"1552405_at",0.345357312618464
"1552408_at",0.335676686699411
"1552409_a_at",0.341926256955408
"1552410_at",0.352425955391631
"1552411_at",0.32865542754999
"1552412_a_at",0.15802138527874
"1552414_at",0.151144112180675
"1552415_a_at",0.339758438914507
"1552417_a_at",0.379246994238396
"1552418_at",0.367297505113584
"1552419_s_at",0.403838214299639
"1552421_a_at",0.191445560453706
"1552422_at",0.243278515130254
"1552423_at",0.475860341197677
"1552424_at",0.238367841982243
"1552425_a_at",0.315196233752818
"1552426_a_at",0.597170847767635
"1552427_at",0.343851363193922
"1552430_at",0.277336215713095
"1552432_at",0.0947088068233358
"1552436_a_at",0.0947088068233358
"1552438_a_at",0.314679979019417
"1552439_s_at",0.151534601257331
"1552440_at",0.353226783331653
"1552445_a_at",0.191362398826523
"1552448_a_at",0.235419056010132
"1552449_a_at",0.322089486261111
"1552450_a_at",0.329876246884707
"1552452_at",0.2426266911021
"1552453_a_at",0.245912013270999
"1552455_at",0.26341082864123
"1552456_a_at",0.10558497425234
"1552457_a_at",0.109372322691132
"1552458_at",0.266848350835808
"1552459_a_at",0.375450260899014
"1552461_at",0.282187984604794
"1552463_at",0.294580490356924
"1552466_x_at",0.226791555369283
"1552467_at",0.144741977476581
"1552468_a_at",0.262765964839905
"1552470_a_at",0.245057656260872
"1552472_a_at",0.540905917937974
"1552473_at",0.445348488785563
"1552474_a_at",0.422913771691039
"1552476_s_at",0.244211273319053
"1552477_a_at",0.259817569203927
"1552478_a_at",0.207335433983193
"1552480_s_at",0.59997009439847
"1552481_s_at",0.421586172883903
"1552482_at",0.330009529699748
"1552484_at",0.305456625468706
"1552485_at",0.43537061506534
"1552486_s_at",0.475558676967685
"1552487_a_at",0.209210118219815
"1552489_s_at",0.108444895746681
"1552490_at",0.362156766178643
"1552491_at",0.314156522273871
"1552493_s_at",0.208354303518745
"1552494_at",0.208483188682374
"1552496_a_at",0.281586407011118
"1552497_a_at",0.542654345927905
"1552498_at",0.357369287412679
"1552499_a_at",0.310768343839065
"1552501_a_at",0.525614237033784
"1552502_s_at",0.236470590028568
"1552503_at",0.273210084568848
"1552504_a_at",0.339232393240307
"1552506_at",0.401081530734318
"1552507_at",0.293449383381738
"1552508_at",0.278552668851735
"1552509_a_at",0.291096115974437
"1552510_at",0.586030365806841
"1552511_a_at",0.193119536433666
"1552514_at",0.254636348052413
"1552515_at",0.321100976943553
"1552516_a_at",0.523250638968247
"1552518_s_at",0.28414002533734
"1552519_at",0.272879224044878
"1552520_at",0.262462341420812
"1552521_a_at",0.151534829714662
"1552522_at",0.346796295646033
"1552523_a_at",0.157640329592584
"1552524_at",0.164862568134531
"1552526_at",0.244565842192754
"1552528_at",0.278223903097076
"1552531_a_at",0.198049136914053
"1552532_a_at",0.152992964155858
"1552535_at",0.240802034984411
"1552536_at",0.545684419373505
"1552538_a_at",0.232447604288421
"1552540_s_at",0.318372777523046
"1552541_at",0.46203505511314
"1552542_s_at",0.58862806695268
"1552543_a_at",0.35094603268964
